filename,is_illegal
session_9278196183,0
session_9307936288,1
session_9316476581,1
session_9362179236,0
session_9387370115,0
session_9395770534,0
session_9411417025,0
session_9418948998,1
session_9477322863,0
session_9495657954,1
session_9495997885,0
session_9497021147,0
session_9501338931,1
session_9505884451,0
session_9506925023,0
session_9518245436,1
session_9525615730,1
session_9551087650,1
session_9579651012,1
session_9629836105,0
session_9646127676,1
session_9648839315,0
session_9653209270,0
session_9667273084,1
session_9673398856,0
session_9674716665,1
session_9689083079,0
session_9693789671,1
session_9705613967,0
session_9708106289,1
session_9716805694,0
session_9729063367,0
session_9740386657,0
session_9753314758,1
session_9759261305,1
session_9767538073,1
session_9787004965,1
session_9791921163,0
session_9794510496,0
session_9795347408,1
session_9809839685,0
session_9814859818,0
session_9816302916,1
session_9821034386,1
session_9830083627,1
session_9839818954,0
session_9877366244,0
session_9877506321,1
session_9880892041,0
session_9896236015,0
session_9899715696,0
session_9904426178,0
session_9913386649,0
session_9916663391,1
session_9919383972,0
session_9921687223,0
session_9924186646,0
session_9932324920,0
session_9938110038,0
session_9951071945,1
session_9956793065,0
session_9973193301,0
session_9983042278,1
